CountryISO,CountryName,Admin1ISO,Admin1Name,Admin1Name_Preferred
KH,CAMBODIA,KH-1,Banteay Mean Chey,BÂNTÉAY MÉANCHEY
KH,CAMBODIA,KH-1,banteay mean chey,BÂNTÉAY MÉANCHEY
KH,CAMBODIA,KH-1,BÂNTÉAY MÉANCHEY,BÂNTÉAY MÉANCHEY
KH,CAMBODIA,KH-1,Bântéay Méanchey,BÂNTÉAY MÉANCHEY
KH,CAMBODIA,KH-10,Kracheh,KRÂCHÉH
KH,CAMBODIA,KH-10,KRÂCHÉH,KRÂCHÉH
KH,CAMBODIA,KH-10,Krâchéh,KRÂCHÉH
KH,CAMBODIA,KH-10,kratie,KRÂCHÉH
KH,CAMBODIA,KH-11,mondol kiri,MÔNDÓL KIRI
KH,CAMBODIA,KH-11,Mondol Kiri,MÔNDÓL KIRI
KH,CAMBODIA,KH-11,Môndól Kiri,MÔNDÓL KIRI
KH,CAMBODIA,KH-11,MÔNDÓL KIRI,MÔNDÓL KIRI
KH,CAMBODIA,KH-12,phnom penh,PHNUM PÉNH
KH,CAMBODIA,KH-12,Phnom Penh,PHNUM PÉNH
KH,CAMBODIA,KH-12,PHNUM PÉNH,PHNUM PÉNH
KH,CAMBODIA,KH-12,Phnum Pénh,PHNUM PÉNH
KH,CAMBODIA,KH-13,Preah Vihear,PREĂH VIHÉAR
KH,CAMBODIA,KH-13,preah vihear,PREĂH VIHÉAR
KH,CAMBODIA,KH-13,Preăh Vihéar,PREĂH VIHÉAR
KH,CAMBODIA,KH-13,PREĂH VIHÉAR,PREĂH VIHÉAR
KH,CAMBODIA,KH-14,Prey Veaeng,PREY VÊNG
KH,CAMBODIA,KH-14,prey veng,PREY VÊNG
KH,CAMBODIA,KH-14,PREY VÊNG,PREY VÊNG
KH,CAMBODIA,KH-14,Prey Vêng,PREY VÊNG
KH,CAMBODIA,KH-15,Pousaat,POŬTHĬSĂT
KH,CAMBODIA,KH-15,pousat,POŬTHĬSĂT
KH,CAMBODIA,KH-15,Poŭthĭsăt,POŬTHĬSĂT
KH,CAMBODIA,KH-15,POŬTHĬSĂT,POŬTHĬSĂT
KH,CAMBODIA,KH-16,rotanak kiri,RÔTÂNÔKIRI
KH,CAMBODIA,KH-16,Rotanak Kiri,RÔTÂNÔKIRI
KH,CAMBODIA,KH-16,RÔTÂNÔKIRI,RÔTÂNÔKIRI
KH,CAMBODIA,KH-16,Rôtânôkiri,RÔTÂNÔKIRI
KH,CAMBODIA,KH-17,Siem Reab,SIĔMRÉAB
KH,CAMBODIA,KH-17,siem reap,SIĔMRÉAB
KH,CAMBODIA,KH-17,SIĔMRÉAB,SIĔMRÉAB
KH,CAMBODIA,KH-17,Siĕmréab,SIĔMRÉAB
KH,CAMBODIA,KH-18,Krong Preah Sihanouk,KRŎNG PREĂH SIHANOUK
KH,CAMBODIA,KH-18,krong preah sihanouk,KRŎNG PREĂH SIHANOUK
KH,CAMBODIA,KH-18,Krŏng Preăh Sihanouk,KRŎNG PREĂH SIHANOUK
KH,CAMBODIA,KH-18,KRŎNG PREĂH SIHANOUK,KRŎNG PREĂH SIHANOUK
KH,CAMBODIA,KH-19,STOĔNG TRÊNG,STOĔNG TRÊNG
KH,CAMBODIA,KH-19,Stoĕng Trêng,STOĔNG TRÊNG
KH,CAMBODIA,KH-19,Stueng Traeng,STOĔNG TRÊNG
KH,CAMBODIA,KH-19,stung treng,STOĔNG TRÊNG
KH,CAMBODIA,KH-2,Baat Dambang,BĂTDÂMBÂNG
KH,CAMBODIA,KH-2,bat dambang,BĂTDÂMBÂNG
KH,CAMBODIA,KH-2,Bătdâmbâng,BĂTDÂMBÂNG
KH,CAMBODIA,KH-2,BĂTDÂMBÂNG,BĂTDÂMBÂNG
KH,CAMBODIA,KH-20,Svaay Rieng,SVAY RIĔNG
KH,CAMBODIA,KH-20,svay rieng,SVAY RIĔNG
KH,CAMBODIA,KH-20,Svay Riĕng,SVAY RIĔNG
KH,CAMBODIA,KH-20,SVAY RIĔNG,SVAY RIĔNG
KH,CAMBODIA,KH-21,Taakaev,TAKÊV
KH,CAMBODIA,KH-21,takaev,TAKÊV
KH,CAMBODIA,KH-21,Takêv,TAKÊV
KH,CAMBODIA,KH-21,TAKÊV,TAKÊV
KH,CAMBODIA,KH-22,otdar mean chey,ŎTDÂR MÉANCHEY
KH,CAMBODIA,KH-22,Otdar Mean Chey,ŎTDÂR MÉANCHEY
KH,CAMBODIA,KH-22,ŎTDÂR MÉANCHEY,ŎTDÂR MÉANCHEY
KH,CAMBODIA,KH-22,Ŏtdâr Méanchey,ŎTDÂR MÉANCHEY
KH,CAMBODIA,KH-23,krong kaeb,KRŎNG KÊB
KH,CAMBODIA,KH-23,Krong Kaeb,KRŎNG KÊB
KH,CAMBODIA,KH-23,Krŏng Kêb,KRŎNG KÊB
KH,CAMBODIA,KH-23,KRŎNG KÊB,KRŎNG KÊB
KH,CAMBODIA,KH-24,Krong Pailin,KRŎNG PAILĬN
KH,CAMBODIA,KH-24,krong pailin,KRŎNG PAILĬN
KH,CAMBODIA,KH-24,KRŎNG PAILĬN,KRŎNG PAILĬN
KH,CAMBODIA,KH-24,Krŏng Pailĭn,KRŎNG PAILĬN
KH,CAMBODIA,KH-3,Kampong Chaam,KÂMPÓNG CHAM
KH,CAMBODIA,KH-3,kampong cham,KÂMPÓNG CHAM
KH,CAMBODIA,KH-3,KÂMPÓNG CHAM,KÂMPÓNG CHAM
KH,CAMBODIA,KH-3,Kâmpóng Cham,KÂMPÓNG CHAM
KH,CAMBODIA,KH-4,kampong chhnang,KÂMPÓNG CHHNĂNG
KH,CAMBODIA,KH-4,Kampong Chhnang,KÂMPÓNG CHHNĂNG
KH,CAMBODIA,KH-4,KÂMPÓNG CHHNĂNG,KÂMPÓNG CHHNĂNG
KH,CAMBODIA,KH-4,Kâmpóng Chhnăng,KÂMPÓNG CHHNĂNG
KH,CAMBODIA,KH-5,KÂMPÓNG SPŒ,KÂMPÓNG SPŒ
KH,CAMBODIA,KH-5,Kâmpóng Spœ,KÂMPÓNG SPŒ
KH,CAMBODIA,KH-5,kampong spueu,KÂMPÓNG SPŒ
KH,CAMBODIA,KH-5,Kampong Spueu,KÂMPÓNG SPŒ
KH,CAMBODIA,KH-6,kampong thom,KÂMPÓNG THUM
KH,CAMBODIA,KH-6,Kampong Thum,KÂMPÓNG THUM
KH,CAMBODIA,KH-6,Kâmpóng Thum,KÂMPÓNG THUM
KH,CAMBODIA,KH-6,KÂMPÓNG THUM,KÂMPÓNG THUM
KH,CAMBODIA,KH-7,Kampot,KÂMPÔT
KH,CAMBODIA,KH-7,kampot,KÂMPÔT
KH,CAMBODIA,KH-7,Kâmpôt,KÂMPÔT
KH,CAMBODIA,KH-7,KÂMPÔT,KÂMPÔT
KH,CAMBODIA,KH-8,Kandaal,KÂNDAL
KH,CAMBODIA,KH-8,kandal,KÂNDAL
KH,CAMBODIA,KH-8,Kândal,KÂNDAL
KH,CAMBODIA,KH-8,KÂNDAL,KÂNDAL
KH,CAMBODIA,KH-9,Kaoh Kong,KAÔH KŎNG
KH,CAMBODIA,KH-9,KAÔH KŎNG,KAÔH KŎNG
KH,CAMBODIA,KH-9,Kaôh Kŏng,KAÔH KŎNG
KH,CAMBODIA,KH-9,koh kong,KAÔH KŎNG
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-AT,attapeu,ATTAPU
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-AT,ATTAPU,ATTAPU
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-AT,Attapu,ATTAPU
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-AT,Attopeu,ATTAPU
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-BK,bokeo,BOKÈO
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-BK,BOKÈO,BOKÈO
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-BK,Bokèo,BOKÈO
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-BL,Bolikhamxai,BOLIKHAMXAI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-BL,BOLIKHAMXAI,BOLIKHAMXAI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-BL,borikhamxay,BOLIKHAMXAI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-BL,Borikhane,BOLIKHAMXAI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-CH,champasack,CHAMPASAK
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-CH,Champasak,CHAMPASAK
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-CH,CHAMPASAK,CHAMPASAK
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-CH,Champassak,CHAMPASAK
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-HO,HOUAPHAN,HOUAPHAN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-HO,Houaphan,HOUAPHAN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-HO,huaphanh,HOUAPHAN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-KH,KHAMMOUAN,KHAMMOUAN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-KH,Khammouan,KHAMMOUAN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-KH,khammuane,KHAMMOUAN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-LM,LOUANG NAMTHA,LOUANG NAMTHA
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-LM,Louang Namtha,LOUANG NAMTHA
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-LM,luangnamtha,LOUANG NAMTHA
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-LP,Louang Prabang,LOUANGPHABANG
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-LP,LOUANGPHABANG,LOUANGPHABANG
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-LP,Louangphabang,LOUANGPHABANG
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-LP,luangprabang,LOUANGPHABANG
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-OU,Oudomsai,OUDÔMXAI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-OU,OUDÔMXAI,OUDÔMXAI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-OU,Oudômxai,OUDÔMXAI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-OU,oudomxay,OUDÔMXAI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-PH,Phong Saly,PHÔNGSALI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-PH,Phôngsali,PHÔNGSALI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-PH,PHÔNGSALI,PHÔNGSALI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-PH,phongsaly,PHÔNGSALI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-SL,Salavan,SALAVAN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-SL,SALAVAN,SALAVAN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-SL,saravane,SALAVAN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-SL,Saravane,SALAVAN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-SV,savannakhet,SAVANNAKHÉT
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-SV,SAVANNAKHÉT,SAVANNAKHÉT
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-SV,Savannakhét,SAVANNAKHÉT
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-VI,VIANGCHAN,VIANGCHAN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-VI,Vientiane,VIANGCHAN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-VI,vientiane,VIANGCHAN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-VT,VIANGCHAN [PREFECTURE],VIANGCHAN [PREFECTURE]
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-VT,Vientiane,VIANGCHAN [PREFECTURE]
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-VT,vientiane municipality,VIANGCHAN [PREFECTURE]
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XA,Sayaboury,XAIGNABOULI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XA,Xaignabouli,XAIGNABOULI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XA,XAIGNABOULI,XAIGNABOULI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XA,xayabury,XAIGNABOULI
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XE,sekong,XÉKONG
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XE,Sékong,XÉKONG
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XE,XÉKONG,XÉKONG
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XE,Xékong,XÉKONG
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XI,XIANGKHOANG,XIANGKHOANG
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XI,Xiangkhoang,XIANGKHOANG
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XI,Xieng Khouang,XIANGKHOANG
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XI,xiengkhuang,XIANGKHOANG
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XS,XAISÔMBOUN,XAISÔMBOUN
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LA-XS,xaysomboun special region,XAISÔMBOUN
TH,THAILAND,TH-10,KRUNG THEP MAHA NAKHON,KRUNG THEP MAHA NAKHON
TH,THAILAND,TH-10,Krung Thep Maha Nakhon,KRUNG THEP MAHA NAKHON
TH,THAILAND,TH-11,SAMUT PRAKAN,SAMUT PRAKAN
TH,THAILAND,TH-11,Samut Prakan,SAMUT PRAKAN
TH,THAILAND,TH-12,NONTHABURI,NONTHABURI
TH,THAILAND,TH-12,Nonthaburi,NONTHABURI
TH,THAILAND,TH-13,PATHUM THANI,PATHUM THANI
TH,THAILAND,TH-13,Pathum Thani,PATHUM THANI
TH,THAILAND,TH-14,PHRA NAKHON SI AYUTTHAYA,PHRA NAKHON SI AYUTTHAYA 
TH,THAILAND,TH-14,Phra Nakhon Si Ayutthaya,PHRA NAKHON SI AYUTTHAYA 
TH,THAILAND,TH-15,ANG THONG,ANG THONG
TH,THAILAND,TH-15,Ang Thong,ANG THONG
TH,THAILAND,TH-16,LOP BURI,LOP BURI
TH,THAILAND,TH-16,Lop Buri,LOP BURI
TH,THAILAND,TH-17,Sing Buri,SING BURI
TH,THAILAND,TH-17,SING BURI,SING BURI
TH,THAILAND,TH-18,Chai Nat,CHAI NAT
TH,THAILAND,TH-18,CHAI NAT,CHAI NAT
TH,THAILAND,TH-19,Saraburi,SARABURI
TH,THAILAND,TH-19,SARABURI,SARABURI
TH,THAILAND,TH-20,Chon Buri,CHON BURI
TH,THAILAND,TH-20,CHON BURI,CHON BURI
TH,THAILAND,TH-21,Rayong,RAYONG
TH,THAILAND,TH-21,RAYONG,RAYONG
TH,THAILAND,TH-22,Chanthaburi,CHANTHABURI
TH,THAILAND,TH-22,CHANTHABURI,CHANTHABURI
TH,THAILAND,TH-23,Trat,TRAT
TH,THAILAND,TH-23,TRAT,TRAT
TH,THAILAND,TH-24,CHACHOENGSAO,CHACHOENGSAO
TH,THAILAND,TH-24,Chachoengsao,CHACHOENGSAO
TH,THAILAND,TH-25,PRACHIN BURI,PRACHIN BURI
TH,THAILAND,TH-25,Prachin Buri,PRACHIN BURI
TH,THAILAND,TH-26,Nakhon Nayok,NAKHON NAYOK
TH,THAILAND,TH-26,NAKHON NAYOK,NAKHON NAYOK
